bm_9561168.out
bm_9561169.out
bm_9561170.out
bm_9561354.out
bm_9561355.out
bm_9561368.out
bm_9561369.out
bmfollow_9561733.out
q_cycle2-task3_9565562.out
q_mastery-heldout-rep2_9565559.out
q_reps-task2_9565563.out
q_reps-task2b_9566227.out
q_reps-task3-rep2_9565561.out
q_reps-task4_9565564.out
---
JobID                                   JobName  Partition        NodeList               Start                 End    Elapsed      State                                AllocTRES 
------------ ---------------------------------- ---------- --------------- ------------------- ------------------- ---------- ---------- ---------------------------------------- 
9561378                                fm-protP       gpuq          gpu014 2026-09-05T19:38:28 2026-09-05T21:23:32   01:45:04  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9561379                                 fm-armC       gpuq          gpu014 2026-09-05T19:38:28 2026-09-05T19:45:33   00:07:05  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9561544                              fm-bm0wide       gpuq          gpu013 2026-09-05T19:43:49 2026-09-05T20:36:03   00:52:14  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9561611                                fm-armC2       gpuq          gpu014 2026-09-05T19:47:33 2026-09-05T19:59:04   00:11:31  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9561733                             fm-bmfollow       gpuq          dgx001 2026-09-05T20:29:59 2026-09-05T21:40:18   01:10:19  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9563644                                 fm-armA       gpuq          dgx001 2026-09-05T20:50:00 2026-09-05T20:56:23   00:06:23  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9563855                              fm-bmpower       gpuq          dgx001 2026-09-05T21:01:04 2026-09-05T21:15:26   00:14:22  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9563856                              fm-mastery       gpuq          dgx001 2026-09-05T21:01:04 2026-09-05T21:13:44   00:12:40  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9563888                                fm-video       gpuq          dgx001 2026-09-05T21:07:54 2026-09-05T21:10:53   00:02:59  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9564260                               fm-bmreps       gpuq          dgx001 2026-09-05T21:16:52 2026-09-05T21:32:37   00:15:45  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9564261                               fm-video2       gpuq          dgx001 2026-09-05T21:16:52 2026-09-05T21:19:14   00:02:22  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9564675                                  fm-g24       gpuq          dgx001 2026-09-05T21:29:02 2026-09-05T22:00:59   00:31:57  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
